index,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,Race
0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1
2,1,4,0,0,1,0,0,1
3,0,0,0,0,0,0,1,0
4,1,14,1,0,0,0,0,0
5,0,3,0,0,0,0,0,0
6,0,0,0,0,0,1,1,0
7,0,0,0,0,0,0,0,0
8,1,3,1,0,1,0,1,1
9,0,0,0,0,0,1,1,0
10,0,0,0,0,0,0,0,1
11,1,1,0,1,0,1,0,0
12,1,7,0,0,0,0,0,1
13,0,0,0,0,0,0,1,1
14,0,3,1,0,0,0,0,1
15,1,6,1,0,0,0,0,0
16,1,5,0,0,0,0,0,0
17,1,13,1,1,0,0,0,1
18,1,1,1,0,1,0,0,1
19,1,0,0,0,0,0,1,0
20,0,0,0,0,1,1,0,0
21,1,1,0,0,1,0,0,1
22,0,1,0,0,0,0,1,0
23,0,0,0,0,0,0,1,0
24,1,8,0,0,0,0,0,1
25,1,5,1,0,0,0,0,1
26,1,0,1,0,0,0,0,1
27,1,9,1,0,0,0,0,0
28,1,4,1,0,0,0,0,1
29,0,0,0,1,0,0,0,0
30,1,7,0,1,0,0,0,0
31,1,4,1,0,0,1,1,0
32,1,1,0,0,1,0,1,0
33,1,21,1,0,0,0,0,1
34,0,0,0,0,0,0,1,0
35,0,2,1,0,1,1,0,1
36,0,2,0,1,0,0,1,1
37,1,2,0,0,0,0,1,0
38,0,7,0,1,0,1,0,1
39,1,0,1,0,0,0,0,1
40,1,9,1,0,0,0,1,0
41,1,13,1,0,0,0,0,1
42,0,0,0,1,0,0,1,0
43,0,0,0,0,0,0,0,1
44,1,1,0,0,0,0,0,0
45,0,0,0,0,0,1,0,0
46,0,15,1,0,0,0,0,1
47,1,2,0,0,1,0,0,1
48,0,0,1,0,0,0,1,1
49,0,4,0,1,0,0,1,1
50,0,8,1,1,0,0,0,0
51,0,5,0,0,0,0,0,1
52,1,15,1,0,0,0,0,1
53,1,4,0,0,0,0,1,0
54,1,1,0,0,1,0,0,1
55,1,4,1,0,0,0,0,1
56,0,0,0,1,0,0,1,1
57,1,6,1,0,0,0,0,1
58,0,0,0,0,0,0,1,0
59,0,0,0,1,0,1,1,1
60,1,6,0,1,0,0,0,1
61,0,1,0,0,1,0,0,1
62,0,1,0,0,0,0,1,1
63,1,5,1,0,0,0,0,1
64,1,1,1,0,0,0,0,0
65,0,2,0,0,0,0,0,1
66,1,1,0,0,1,0,1,1
67,0,0,1,0,1,0,0,0
68,1,1,0,0,0,1,0,1
69,0,0,0,0,0,0,0,1
70,0,1,0,0,0,0,1,1
71,1,8,1,0,0,0,1,1
72,1,0,0,1,0,0,0,0
73,1,14,1,0,0,0,0,1
74,1,0,1,0,1,0,0,0
75,1,2,1,0,1,0,0,1
76,0,1,0,0,0,1,1,1
77,1,9,1,0,0,0,0,1
78,1,7,1,0,0,0,0,0
79,1,1,1,0,1,0,0,0
80,1,9,1,0,0,0,0,0
81,0,0,1,0,1,1,0,0
82,1,2,0,0,0,0,0,0
83,0,0,0,1,0,1,1,0
84,0,0,0,0,0,1,1,1
85,1,1,0,0,1,0,1,1
86,0,1,0,0,0,0,0,1
87,1,0,0,0,0,1,0,0
88,1,8,1,0,1,0,0,0
89,0,0,0,0,0,0,0,0
90,0,0,1,0,0,0,1,0
91,0,1,0,0,0,1,0,0
92,0,1,0,0,0,0,0,0
93,1,3,1,0,1,0,0,1
94,1,5,0,0,0,0,1,0
95,0,0,1,0,0,0,0,0
96,1,5,1,0,0,0,0,1
97,0,3,0,0,0,0,0,1
98,1,1,0,0,0,0,0,0
99,1,10,1,0,0,0,0,1
100,1,0,0,0,1,0,0,1
101,1,28,1,0,0,0,0,1
102,0,1,1,0,0,0,1,1
103,0,1,0,0,0,1,0,0
104,1,13,1,0,0,0,0,0
105,1,3,1,0,0,0,0,1
106,0,3,1,1,0,0,1,0
107,1,19,1,0,0,0,0,1
108,0,6,0,0,0,0,0,0
109,0,2,0,0,0,1,0,0
110,0,1,0,0,0,0,1,0
111,0,2,0,0,0,1,1,0
112,1,0,0,0,0,0,1,0
113,0,0,0,0,1,1,1,1
114,1,10,0,0,0,1,0,0
115,1,2,0,0,0,0,1,0
116,1,3,1,0,0,0,0,1
117,1,2,0,0,0,0,1,0
118,0,1,0,0,0,0,1,1
119,1,1,0,1,0,0,0,0
120,0,1,1,0,1,1,0,1
121,0,0,0,0,0,1,1,0
122,1,9,1,0,0,0,0,1
123,1,11,1,0,0,0,0,1
124,1,8,1,0,0,0,1,1
125,1,0,0,0,0,1,0,1
126,1,7,1,0,0,1,0,1
127,1,2,1,0,0,0,0,1
128,0,0,1,0,1,1,0,1
129,0,0,1,0,0,1,1,0
130,1,1,0,1,0,1,0,1
131,1,13,1,1,0,0,0,0
132,0,1,0,1,0,0,0,1
133,1,4,1,0,0,1,0,1
134,0,1,0,0,0,0,0,1
135,1,2,0,0,0,1,1,1
136,0,1,0,0,0,0,1,0
137,1,3,1,0,0,1,0,0
138,0,1,1,0,0,0,0,1
139,0,2,0,1,0,0,1,0
140,0,1,0,0,1,0,0,1
141,1,6,0,1,0,0,0,0
142,0,0,1,0,0,0,0,0
143,1,1,0,0,0,0,1,1
144,0,0,0,0,1,0,0,1
145,0,5,1,0,0,1,0,1
146,0,2,0,1,0,0,1,1
147,0,8,0,1,0,0,0,1
148,1,8,1,0,0,0,0,1
149,1,6,1,0,0,0,1,1
150,0,2,0,1,0,0,0,1
151,0,0,0,1,0,0,0,1
152,1,1,0,1,0,0,1,0
153,0,0,0,1,0,0,0,0
154,0,0,0,0,1,0,0,0
155,1,1,1,0,1,0,0,1
156,1,23,1,1,0,0,1,1
157,1,0,0,0,1,0,1,1
158,0,1,0,1,0,0,0,1
159,0,3,0,1,0,0,0,1
160,1,8,0,1,0,0,1,0
161,1,2,1,0,0,0,1,1
162,1,0,0,0,0,0,0,0
163,1,9,1,0,0,0,0,1
164,0,2,0,1,0,0,0,0
165,1,0,0,0,1,0,0,1
166,0,2,0,0,0,0,1,1
167,0,1,0,0,1,1,1,1
168,1,2,0,0,0,0,1,0
169,0,1,0,1,0,0,0,0
170,0,0,0,0,0,1,1,0
171,0,4,0,0,0,0,1,0
172,1,23,1,0,0,1,0,1
173,1,5,1,0,1,0,0,0
174,1,2,1,0,0,0,0,1
175,0,0,0,0,0,0,1,1
176,0,0,1,0,0,1,0,1
177,1,7,1,0,0,1,0,0
178,0,2,0,0,0,0,0,1
179,0,1,1,0,0,1,0,1
180,1,7,0,1,0,0,0,0
181,0,15,1,0,0,0,0,1
182,0,2,1,0,0,0,1,1
183,1,0,0,1,0,1,1,0
184,0,0,0,1,0,0,1,0
185,1,1,0,0,0,0,1,0
186,0,0,0,1,0,0,0,1
187,1,4,0,0,0,0,0,0
188,0,2,1,0,0,1,0,1
189,0,5,1,0,0,1,1,1
190,1,11,1,0,0,0,0,1
191,0,0,0,0,0,0,1,1
192,1,4,0,0,0,0,0,0
193,0,11,1,1,0,0,0,1
194,0,2,1,0,1,0,0,1
195,0,0,0,0,0,0,1,1
196,0,0,0,1,0,0,0,0
197,1,13,0,0,0,0,0,0
198,0,0,0,1,0,0,0,1
199,0,1,0,0,0,0,0,0
200,1,11,1,0,0,0,1,1
201,0,1,1,0,0,0,0,0
202,0,0,0,0,1,0,0,1
203,0,4,0,0,0,0,0,1
204,0,4,0,0,0,0,0,1
205,1,0,1,0,0,0,0,0
206,1,0,0,0,0,0,0,0
207,0,14,1,0,0,0,0,1
208,0,1,0,1,0,0,1,0
209,1,25,1,0,0,0,0,1
210,1,8,1,0,0,0,1,0
211,0,0,0,0,0,0,0,1
212,1,1,1,0,1,0,1,0
213,0,0,0,0,0,1,1,0
214,0,3,0,0,0,1,0,0
215,0,0,0,0,0,1,1,1
216,1,1,1,0,1,0,0,1
217,1,5,1,0,1,1,0,0
218,0,0,1,0,1,0,1,1
219,0,1,0,0,0,0,1,1
220,1,1,1,0,1,0,0,1
221,1,2,1,0,0,0,0,1
222,0,0,0,0,0,0,0,0
223,0,4,0,0,0,0,0,1
224,0,2,0,0,0,1,0,1
225,0,0,1,0,1,0,0,1
226,0,0,1,0,1,0,0,1
227,0,0,0,1,0,1,0,1
228,1,0,0,0,1,1,0,1
229,0,0,0,1,0,1,0,1
230,0,0,1,0,0,0,0,0
231,1,0,1,0,0,0,0,0
232,1,11,1,0,0,0,0,1
233,1,3,1,0,1,0,1,1
234,0,1,0,0,1,1,0,0
235,0,2,0,0,0,1,1,1
236,0,0,0,0,0,1,0,0
237,1,3,1,1,0,0,0,1
238,0,0,0,0,0,0,0,1
239,0,3,0,0,0,0,0,0
240,0,1,0,1,0,0,1,0
241,0,3,0,1,0,0,0,0
242,1,0,1,0,1,0,1,1
243,1,1,1,0,0,0,1,1
244,1,3,0,0,0,0,0,1
245,0,5,0,0,0,0,1,0
246,0,5,0,0,0,0,1,1
247,1,0,1,0,1,0,0,0
248,1,5,0,0,0,0,0,1
249,1,6,0,0,0,0,0,1
250,0,0,0,0,1,0,0,0
251,0,2,0,1,0,0,0,0
252,0,0,1,0,1,1,1,1
253,1,4,1,0,1,0,1,1
254,0,0,0,1,0,0,0,0
255,0,5,0,0,0,0,0,0
256,1,2,0,0,0,0,0,0
257,0,5,0,0,0,1,0,1
