index,sensitive,exp,rel,adv,label,att1,att2,att3,att4
0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.66
2,0,0,0,0,0,0.0,0.0,0.0,0.66
3,0,0,0,0,0,0.0,0.0,0.0,0.66
4,0,0,0,0,0,0.0,0.0,0.0,0.66
5,0,0,0,0,0,0.0,0.0,0.5,0.0
6,0,0,0,0,0,0.0,0.0,0.5,0.0
7,0,0,0,0,0,0.0,0.0,0.5,0.0
8,0,0,0,0,0,0.0,0.0,0.5,0.33
9,0,0,0,0,0,0.0,0.0,1.0,0.33
10,0,0,0,0,0,0.0,0.0,1.0,1.0
11,0,0,0,0,0,0.0,0.0,1.0,1.0
12,0,0,0,0,0,0.0,0.0,1.0,1.0
13,0,0,0,0,0,0.0,0.33,0.0,0.0
14,0,0,0,0,0,0.0,0.33,0.0,0.0
15,0,0,0,0,0,0.0,0.33,0.0,0.33
16,0,0,0,0,0,0.0,0.33,0.0,0.66
17,0,0,0,0,0,0.0,0.33,0.0,1.0
18,0,0,0,0,0,0.0,0.33,0.5,0.0
19,0,0,0,0,0,0.0,0.33,0.5,0.0
20,0,0,0,0,0,0.0,0.33,0.5,0.0
21,0,0,0,0,0,0.0,0.33,0.5,0.33
22,0,0,0,0,0,0.0,0.33,0.5,0.33
23,0,0,0,0,0,0.0,0.33,0.5,0.66
24,0,0,0,0,0,0.0,0.33,0.5,0.66
25,0,0,0,0,0,0.0,0.33,0.5,1.0
26,0,0,0,0,0,0.0,0.33,0.5,1.0
27,0,0,0,0,0,0.0,0.33,1.0,0.0
28,0,0,0,0,0,0.0,0.33,1.0,0.0
29,0,0,0,0,0,0.0,0.33,1.0,0.0
30,0,0,0,0,0,0.0,0.33,1.0,0.0
31,0,0,0,0,0,0.0,0.33,1.0,0.33
32,0,0,0,0,0,0.0,0.33,1.0,1.0
33,0,0,0,0,0,0.0,0.66,0.0,0.0
34,0,0,0,0,0,0.0,0.66,0.0,0.0
35,0,0,0,0,0,0.0,0.66,0.0,0.0
36,0,0,0,0,0,0.0,0.66,0.0,0.33
37,0,0,0,0,0,0.0,0.66,0.0,0.33
38,0,0,0,0,0,0.0,0.66,0.0,0.33
39,0,0,0,0,0,0.0,0.66,0.0,0.33
40,0,0,0,0,0,0.0,0.66,0.0,0.66
41,0,0,0,0,0,0.0,0.66,0.0,0.66
42,0,0,0,0,0,0.0,0.66,0.0,1.0
43,0,0,0,0,0,0.0,0.66,0.0,1.0
44,0,0,0,0,0,0.0,0.66,0.0,1.0
45,0,0,0,0,0,0.0,0.66,0.0,1.0
46,0,0,0,0,0,0.0,0.66,0.5,0.0
47,0,0,0,0,0,0.0,0.66,0.5,0.0
48,0,0,0,0,0,0.0,0.66,0.5,0.33
49,0,0,0,0,0,0.0,0.66,0.5,0.66
50,0,0,0,0,0,0.0,0.66,0.5,0.66
51,0,0,0,0,0,0.0,0.66,0.5,0.66
52,0,0,0,0,0,0.0,0.66,0.5,1.0
53,0,0,0,0,0,0.0,0.66,0.5,1.0
54,0,0,0,0,0,0.0,0.66,0.5,1.0
55,0,0,0,0,0,0.0,0.66,1.0,0.0
56,0,0,0,0,0,0.0,0.66,1.0,0.0
57,0,0,0,0,0,0.0,0.66,1.0,0.0
58,0,0,0,0,0,0.0,0.66,1.0,0.33
59,0,0,0,0,0,0.0,0.66,1.0,0.66
60,0,0,0,0,0,0.0,1.0,0.0,0.0
61,0,0,0,0,0,0.0,1.0,0.0,0.0
62,0,0,0,0,0,0.0,1.0,0.0,0.33
63,0,0,0,0,0,0.0,1.0,0.0,0.33
64,0,0,0,0,0,0.0,1.0,0.0,0.33
65,0,0,0,0,0,0.0,1.0,0.0,0.33
66,0,0,0,0,0,0.0,1.0,0.0,0.66
67,0,0,0,0,0,0.0,1.0,0.0,0.66
68,0,0,0,0,0,0.0,1.0,0.0,1.0
69,0,0,0,0,0,0.0,1.0,0.5,0.0
70,0,0,0,0,0,0.0,1.0,0.5,0.0
71,0,0,0,0,0,0.0,1.0,0.5,0.0
72,0,0,0,0,0,0.0,1.0,0.5,0.33
73,0,0,0,0,0,0.0,1.0,0.5,0.66
74,0,0,0,0,0,0.0,1.0,0.5,0.66
75,0,0,0,0,0,0.0,1.0,0.5,1.0
76,0,0,0,0,0,0.0,1.0,1.0,0.0
77,0,0,0,0,0,0.0,1.0,1.0,0.33
78,0,0,0,0,0,0.0,1.0,1.0,0.33
79,0,0,0,0,0,0.0,1.0,1.0,0.33
80,0,0,0,0,0,0.0,1.0,1.0,0.66
81,0,0,0,0,0,0.0,1.0,1.0,0.66
82,0,0,0,0,0,0.0,1.0,1.0,0.66
83,0,0,0,0,0,0.0,1.0,1.0,1.0
84,0,0,0,0,0,0.0,1.0,1.0,1.0
85,0,0,0,0,0,0.0,1.0,1.0,1.0
86,0,0,0,0,0,0.33,0.0,0.0,0.0
87,0,0,0,0,0,0.33,0.0,0.0,0.0
88,0,0,0,0,0,0.33,0.0,0.0,0.66
89,0,0,0,0,0,0.33,0.0,0.0,1.0
90,0,0,0,0,0,0.33,0.0,0.5,0.0
91,0,0,0,0,0,0.33,0.0,0.5,0.0
92,0,0,0,0,0,0.33,0.0,0.5,0.33
93,0,0,0,0,0,0.33,0.0,0.5,0.33
94,0,0,0,0,0,0.33,0.0,0.5,0.33
95,0,0,0,0,0,0.33,0.0,0.5,0.66
96,0,0,0,0,0,0.33,0.0,0.5,0.66
97,0,0,0,0,0,0.33,0.0,0.5,1.0
98,0,0,0,0,0,0.33,0.0,0.5,1.0
99,0,0,0,0,0,0.33,0.0,0.5,1.0
100,0,0,0,0,0,0.33,0.0,1.0,0.33
101,0,0,0,0,0,0.33,0.0,1.0,0.66
102,0,0,0,0,0,0.33,0.0,1.0,0.66
103,0,0,0,0,0,0.33,0.0,1.0,1.0
104,0,0,0,0,0,0.33,0.33,0.0,0.0
105,0,0,0,0,0,0.33,0.33,0.0,0.33
106,0,0,0,0,0,0.33,0.33,0.0,0.33
107,0,0,0,0,0,0.33,0.33,0.0,0.66
108,0,0,0,0,0,0.33,0.33,0.0,1.0
109,0,0,0,0,0,0.33,0.33,0.0,1.0
110,0,0,0,0,0,0.33,0.33,0.5,0.0
111,0,0,0,0,0,0.33,0.33,0.5,0.33
112,0,0,0,0,0,0.33,0.33,0.5,0.33
113,0,0,0,0,0,0.33,0.33,0.5,0.33
114,0,0,0,0,0,0.33,0.33,0.5,0.66
115,0,0,0,0,0,0.33,0.33,0.5,0.66
116,0,0,0,0,0,0.33,0.33,0.5,1.0
117,0,0,0,0,0,0.33,0.33,0.5,1.0
118,0,0,0,0,0,0.33,0.33,1.0,0.0
119,0,0,0,0,0,0.33,0.33,1.0,0.0
120,0,0,0,0,0,0.33,0.33,1.0,0.0
121,0,0,0,0,0,0.33,0.33,1.0,0.33
122,0,0,0,0,0,0.33,0.33,1.0,1.0
123,0,0,0,0,0,0.33,0.66,0.0,0.0
124,0,0,0,0,0,0.33,0.66,0.0,0.33
125,0,0,0,0,0,0.33,0.66,0.0,0.33
126,0,0,0,0,0,0.33,0.66,0.0,0.33
127,0,0,0,0,0,0.33,0.66,0.0,0.33
128,0,0,0,0,0,0.33,0.66,0.0,0.66
129,0,0,0,0,0,0.33,0.66,0.0,0.66
130,0,0,0,0,0,0.33,0.66,0.0,0.66
131,0,0,0,0,0,0.33,0.66,0.0,1.0
132,0,0,0,0,0,0.33,0.66,0.0,1.0
133,0,0,0,0,0,0.33,0.66,0.0,1.0
134,0,0,0,0,0,0.33,0.66,0.5,0.0
135,0,0,0,0,0,0.33,0.66,0.5,0.33
136,0,0,0,0,0,0.33,0.66,0.5,0.66
137,0,0,0,0,0,0.33,0.66,0.5,1.0
138,0,0,0,0,0,0.33,0.66,0.5,1.0
139,0,0,0,0,0,0.33,0.66,1.0,0.0
140,0,0,0,0,0,0.33,0.66,1.0,0.0
141,0,0,0,0,0,0.33,0.66,1.0,0.66
142,0,0,0,0,0,0.33,0.66,1.0,0.66
143,0,0,0,0,0,0.33,0.66,1.0,0.66
144,0,0,0,0,0,0.33,0.66,1.0,1.0
145,0,0,0,0,0,0.33,0.66,1.0,1.0
146,0,0,0,0,0,0.33,0.66,1.0,1.0
147,0,0,0,0,0,0.33,1.0,0.0,0.0
148,0,0,0,0,0,0.33,1.0,0.0,0.33
149,0,0,0,0,0,0.33,1.0,0.0,0.33
150,0,0,0,0,0,0.33,1.0,0.0,0.33
151,0,0,0,0,0,0.33,1.0,0.0,1.0
152,0,0,0,0,0,0.33,1.0,0.5,0.0
153,0,0,0,0,0,0.33,1.0,0.5,0.0
