index,sensitive,exp,rel,adv,label,att1,att2,att3,att4
0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,1.0
2,0,0,0,0,0,0.0,0.0,0.5,0.0
3,0,0,0,0,0,0.0,0.0,0.5,0.33
4,0,0,0,0,0,0.0,0.0,0.5,1.0
5,0,0,0,0,0,0.0,0.33,0.0,0.0
6,0,0,0,0,0,0.0,0.33,0.0,0.0
7,0,0,0,0,0,0.0,0.33,0.0,0.33
8,0,0,0,0,0,0.0,0.33,0.5,0.0
9,0,0,0,0,0,0.0,0.33,0.5,0.33
10,0,0,0,0,0,0.0,0.33,1.0,0.66
11,0,0,0,0,0,0.0,0.33,1.0,0.66
12,0,0,0,0,0,0.0,0.66,0.0,0.0
13,0,0,0,0,0,0.0,0.66,0.0,0.33
14,0,0,0,0,0,0.0,0.66,0.0,0.66
15,0,0,0,0,0,0.0,0.66,0.0,0.66
16,0,0,0,0,0,0.0,0.66,1.0,0.0
17,0,0,0,0,0,0.0,1.0,0.0,0.66
18,0,0,0,0,0,0.0,1.0,0.0,1.0
19,0,0,0,0,0,0.0,1.0,0.0,1.0
20,0,0,0,0,0,0.0,1.0,1.0,0.0
21,0,0,0,0,0,0.0,1.0,1.0,1.0
22,0,0,0,0,0,0.33,0.0,0.0,1.0
23,0,0,0,0,0,0.33,0.0,1.0,0.66
24,0,0,0,0,0,0.33,0.33,0.0,0.33
25,0,0,0,0,0,0.33,0.33,0.5,0.33
26,0,0,0,0,0,0.33,0.33,0.5,0.33
27,0,0,0,0,0,0.33,0.33,0.5,0.33
28,0,0,0,0,0,0.33,0.33,1.0,0.0
29,0,0,0,0,0,0.33,0.33,1.0,0.0
30,0,0,0,0,0,0.33,0.33,1.0,0.0
31,0,0,0,0,0,0.33,0.33,1.0,1.0
32,0,0,0,0,0,0.33,0.33,1.0,1.0
33,0,0,0,0,0,0.33,0.66,0.0,0.66
34,0,0,0,0,0,0.33,0.66,0.0,1.0
35,0,0,0,0,0,0.33,0.66,0.5,1.0
36,0,0,0,0,0,0.33,0.66,1.0,0.0
37,0,0,0,0,0,0.33,0.66,1.0,0.66
38,0,0,0,0,0,0.33,1.0,0.5,0.66
39,0,0,0,0,0,0.33,1.0,0.5,1.0
40,0,0,0,0,0,0.33,1.0,1.0,0.33
41,0,0,0,0,0,0.33,1.0,1.0,1.0
42,0,0,0,0,0,0.66,0.0,0.0,0.0
43,0,0,0,0,0,0.66,0.0,0.0,0.0
44,0,0,0,0,0,0.66,0.0,0.0,0.66
45,0,0,0,0,0,0.66,0.0,0.0,0.66
46,0,0,0,0,0,0.66,0.0,0.5,0.0
47,0,0,0,0,0,0.66,0.0,0.5,0.0
48,0,0,0,0,0,0.66,0.0,1.0,0.0
49,0,0,0,0,0,0.66,0.0,1.0,0.33
50,0,0,0,0,0,0.66,0.0,1.0,0.33
51,0,0,0,0,0,0.66,0.0,1.0,0.66
52,0,0,0,0,0,0.66,0.0,1.0,0.66
53,0,0,0,0,0,0.66,0.0,1.0,0.66
54,0,0,0,0,0,0.66,0.0,1.0,0.66
55,0,0,0,0,0,0.66,0.0,1.0,1.0
56,0,0,0,0,0,0.66,0.33,0.0,0.33
57,0,0,0,0,0,0.66,0.33,0.5,0.0
58,0,0,0,0,0,0.66,0.33,0.5,0.0
59,0,0,0,0,0,0.66,0.33,0.5,0.66
60,0,0,0,0,0,0.66,0.33,0.5,0.66
61,0,0,0,0,0,0.66,0.33,0.5,0.66
62,0,0,0,0,0,0.66,0.33,1.0,1.0
63,0,0,0,0,0,0.66,0.66,0.0,0.33
64,0,0,0,0,0,0.66,0.66,0.0,0.33
65,0,0,0,0,0,0.66,0.66,0.0,1.0
66,0,0,0,0,0,0.66,0.66,0.0,1.0
67,0,0,0,0,0,0.66,0.66,0.5,0.33
68,0,0,0,0,0,0.66,0.66,0.5,0.66
69,0,0,0,0,0,0.66,0.66,1.0,0.66
70,0,0,0,0,0,0.66,0.66,1.0,1.0
71,0,0,0,0,0,0.66,1.0,0.0,0.33
72,0,0,0,0,0,0.66,1.0,0.0,0.33
73,0,0,0,0,0,0.66,1.0,0.0,0.66
74,0,0,0,0,0,0.66,1.0,0.5,0.0
75,0,0,0,0,0,0.66,1.0,0.5,1.0
76,0,0,0,0,0,0.66,1.0,1.0,0.0
77,0,0,0,0,0,0.66,1.0,1.0,0.0
78,0,0,0,0,0,1.0,0.0,0.0,0.0
79,0,0,0,0,0,1.0,0.0,1.0,0.0
80,0,0,0,0,0,1.0,0.0,1.0,0.66
81,0,0,0,0,0,1.0,0.0,1.0,0.66
82,0,0,0,0,0,1.0,0.0,1.0,1.0
83,0,0,0,0,0,1.0,0.33,0.0,0.0
84,0,0,0,0,0,1.0,0.33,0.0,1.0
85,0,0,0,0,0,1.0,0.33,1.0,0.0
86,0,0,0,0,0,1.0,0.33,1.0,0.0
87,0,0,0,0,0,1.0,0.33,1.0,0.0
88,0,0,0,0,0,1.0,0.33,1.0,0.66
89,0,0,0,0,0,1.0,0.66,0.0,0.0
90,0,0,0,0,0,1.0,0.66,0.0,0.0
91,0,0,0,0,0,1.0,0.66,0.0,0.66
92,0,0,0,0,0,1.0,0.66,0.0,1.0
93,0,0,0,0,0,1.0,0.66,0.5,0.0
94,0,0,0,0,0,1.0,0.66,0.5,0.33
95,0,0,0,0,0,1.0,0.66,0.5,0.66
96,0,0,0,0,0,1.0,0.66,0.5,1.0
97,0,0,0,0,0,1.0,0.66,0.5,1.0
98,0,0,0,0,0,1.0,0.66,0.5,1.0
99,0,0,0,0,0,1.0,0.66,1.0,0.0
100,0,0,0,0,0,1.0,1.0,0.0,0.0
101,0,0,0,0,0,1.0,1.0,0.0,0.66
102,0,0,0,0,0,1.0,1.0,0.5,0.0
103,0,0,0,0,0,1.0,1.0,0.5,0.0
104,0,0,0,0,0,1.0,1.0,0.5,0.33
105,0,0,0,0,0,1.0,1.0,0.5,0.66
106,0,0,0,0,0,1.0,1.0,0.5,1.0
